word,embedding
[PAD],"[0.0196601040661335, 0.02942783012986183, -0.04846293851733208, -0.032924748957157135, 0.02182898297905922]"
,"[-0.030478155240416527, 0.041419100016355515, 0.03591979667544365, -0.04611894115805626, -0.020861947908997536]"
[UNK],"[-0.0016924142837524414, -0.006979357451200485, -0.024637496098876, -0.01812124252319336, -0.005817294120788574]"
the,"[0.02081993594765663, -0.001391090452671051, 0.01785403862595558, -0.04819665104150772, -0.009748660027980804]"
to,"[-0.03678008168935776, -0.004482544958591461, -0.002786077558994293, -0.0010998733341693878, 0.04223323240876198]"
a,"[-0.04436767101287842, 0.008853364735841751, 0.025808583945035934, 0.003990601748228073, 0.03590724244713783]"
of,"[0.010987699031829834, 0.02389531210064888, -0.041811753064394, -0.007741998881101608, 0.044894326478242874]"
and,"[0.021715525537729263, -0.04450123384594917, 0.015014875680208206, 0.04898787662386894, -0.021010851487517357]"
in,"[0.011224914342164993, 0.036743391305208206, -0.024284815415740013, -0.03972606733441353, -0.020666277036070824]"
was,"[-0.029947495087981224, -0.02263476885855198, 0.013643253594636917, 0.017754260450601578, -0.019538594409823418]"
said,"[-0.03432358801364899, 0.032284703105688095, -0.03443121910095215, 0.010335803031921387, 0.0005083568394184113]"
that,"[-0.03291381895542145, -0.006052136421203613, 0.01567080244421959, 0.039208460599184036, -0.013471223413944244]"
for,"[-0.03654978424310684, -0.013126958161592484, -0.002221275120973587, -0.043828558176755905, -0.03905755281448364]"
on,"[0.028989199548959732, -0.03973573446273804, -0.0028807148337364197, 0.019391607493162155, -0.002219308167695999]"
is,"[0.00831902027130127, -0.022173261269927025, 0.04237886890769005, -0.016112934798002243, -0.02084789238870144]"
he,"[-0.012718010693788528, 0.008661080151796341, 0.019195903092622757, -0.04276139661669731, -0.007129836827516556]"
with,"[0.02840306982398033, 0.048959676176309586, -0.02511068619787693, -0.001954495906829834, 0.018271658569574356]"
at,"[0.030253294855356216, 0.04940343275666237, -0.0398801788687706, -0.004061557352542877, -0.005944598466157913]"
it,"[0.013091515749692917, 0.04880494251847267, 0.03680887445807457, 0.01912916824221611, -0.018076490610837936]"
as,"[0.036993954330682755, -0.020064199343323708, -0.026430845260620117, 0.014683995395898819, 0.028195951133966446]"
his,"[-0.025359023362398148, -0.035311032086610794, 0.01708124950528145, 0.040477458387613297, 0.04117799177765846]"
i,"[0.045877065509557724, 0.01217498630285263, -1.2110918760299683e-05, 0.036083582788705826, -0.009628403931856155]"
from,"[-0.023823440074920654, 0.047973308712244034, -0.005216218531131744, -0.008779633790254593, 0.036053452640771866]"
